task,CR,CuP,violations,outcome,status,seconds
235,False,False,1,failed,ok,163
236,,,,,no-result,106
237,False,False,1,completed,ok,40
238,True,False,1,,ok,39
239,,,,,no-result,55
240,False,False,4,,ok,170
241,False,False,3,completed,ok,153
242,False,False,3,completed,ok,174
243,True,False,2,,ok,55
244,True,False,2,,ok,110
245,False,False,2,completed,ok,94
246,True,False,2,,ok,41
247,False,False,1,completed,ok,54
248,False,False,1,completed,ok,38
249,False,False,3,,ok,137
250,True,False,2,,ok,33
251,True,False,1,,ok,29
252,True,False,2,,ok,147
253,,,,,no-result,230
254,False,False,2,failed,ok,162
