task,CR,CuP,violations,outcome,status,seconds
235,False,False,0,,ok,122
236,True,True,0,,ok,87
237,False,False,1,completed,ok,109
238,True,True,0,,ok,34
239,True,False,1,,ok,51
240,False,False,3,,ok,139
241,False,False,2,,ok,137
242,False,False,1,failed,ok,104
243,True,False,1,,ok,59
244,True,False,1,,ok,80
245,False,False,1,completed,ok,49
246,True,False,1,,ok,41
247,False,False,1,completed,ok,66
248,False,False,0,,ok,170
249,False,False,1,,ok,142
250,True,False,2,,ok,30
251,True,False,1,,ok,31
252,True,True,0,,ok,73
253,False,False,1,,ok,129
254,False,False,1,,ok,155
