task,CR,CuP,violations,outcome,status,seconds
235,False,False,0,completed,ok,127
236,True,True,0,,ok,86
237,False,False,0,completed,ok,46
238,True,True,0,,ok,31
239,True,False,1,,ok,35
240,False,False,3,,ok,123
241,False,False,1,completed,ok,55
242,False,False,2,,ok,129
243,False,False,1,completed,ok,33
244,True,False,1,,ok,102
245,False,False,1,completed,ok,30
246,True,False,1,,ok,40
247,False,False,1,failed,ok,128
248,False,False,0,,ok,165
249,False,False,2,,ok,108
250,True,False,2,,ok,24
251,True,False,1,,ok,24
252,True,True,0,,ok,84
253,False,False,1,completed,ok,33
254,False,False,1,,ok,144
