task,CR,CuP,violations,outcome,status,seconds
265,False,False,2,completed,ok,92
266,True,False,1,,ok,29
267,False,False,1,completed,ok,42
268,False,False,2,,ok,130
269,False,False,1,,ok,107
270,True,False,2,,ok,27
271,True,False,1,,ok,23
272,True,True,0,,ok,52
273,False,False,1,completed,ok,30
274,False,False,2,,ok,123
275,False,False,2,completed,ok,68
276,False,False,3,completed,ok,43
277,False,False,2,completed,ok,48
278,False,False,3,completed,ok,32
279,False,False,3,completed,ok,29
280,False,False,6,,ok,127
281,False,False,3,completed,ok,61
282,False,False,3,completed,ok,42
283,False,False,4,completed,ok,31
284,False,False,5,completed,ok,92
285,False,False,3,completed,ok,57
286,True,False,2,,ok,29
287,False,False,3,completed,ok,42
288,False,False,5,,ok,99
289,False,False,3,,ok,113
290,True,False,3,,ok,27
291,True,False,3,,ok,29
292,False,False,3,completed,ok,55
293,False,False,4,completed,ok,30
294,False,False,4,,ok,153
